@id,name,amenity,@lat,@lon,contact:phone
1697822274,Heart Clinic,hospital,30.3179409,78.0500178,
1697822276,General Hospital,hospital,30.3193950,78.0503182,
1697822631,Daalanwala Police Station,police,30.3250628,78.0540411,
1854105148,CMI,hospital,30.3121892,78.0474883,
1854138785,Police Station,police,30.3257766,78.0428731,
1887554875,Ashirwad Hospital,hospital,30.3328985,78.0086156,
1887561123,Astha Hospital,hospital,30.3329685,78.0101122,
3519362070,Police Nideshalaya,police,30.3301055,78.0503148,
3709894659,Synergy Hospital;Synergy Institute Of Medical Science,hospital,30.3380984,78.0135440,
4254504792,Government Doon Hospital,hospital,30.3196005,78.0422984,
4255814491,wedding by fourth munky,hospital,30.3184253,78.0424823,
6581821447,Deen Dayal Upadhyay hospital,hospital,30.3207776,78.0576667,
6950904473,Yash Respiratory and Medical Disease Centre,hospital,30.3163536,78.0544120,
6950964468,"Vishal Eye Hospital, Dehradun",hospital,30.3363706,78.0223811,
6950969272,Vardaan Children Hospital,hospital,30.3338774,78.0235478,
6951986574,Guru Teg Bahadur Sahib Hospital,hospital,30.3112213,78.0478500,
6951994311,Healing Touch Hospital,hospital,30.3271255,78.0658168,
6952104642,Jan Kalyan Hospital And Research Insititute,hospital,30.3316376,78.0538367,
6952139077,Kamra`s Urinary and Surgical Diseasea Centre,hospital,30.3143113,78.0523923,
6952147102,Ayurmax Multispeciality Hospital,hospital,30.3236075,78.0147126,
6953083990,"Sanjivani Hospital, Dehradun",hospital,30.3247211,78.0050567,
6953276771,Ashadeep Hospital,hospital,30.3184444,78.0290544,
6953301797,Sharda Surgical and Urology Centre,hospital,30.3153417,78.0512014,
6953552504,Oli Eye Hospital,hospital,30.3103530,78.0485205,
6953930189,Garg ENT and Dental Clinic,hospital,30.3175726,78.0333661,
6953935730,Renal Care and Dialysis Center,hospital,30.3152005,78.0513221,
6954506663,Shivanjan Hospital,hospital,30.3125064,78.0219506,
6954999767,Archana Hospital & Lithotripsy Centre,hospital,30.3324791,78.0223086,
6956686298,Saini Ivf and Fertility Research Centre,hospital,30.3409877,78.0593446,
6957204721,Doon Valley Hospital,hospital,30.3119982,78.0480015,
6957891041,Prem Sukh B Hospital And Dailysis Centre,hospital,30.3183749,78.0241728,
6957931047,S. K. Memorial Hospital,hospital,30.3288236,78.0524835,
7479937227,Aarogyadham Super Speciality Hospital,hospital,30.3191611,78.0430172,
7479937256,CMI Hospital,hospital,30.3167914,78.0437622,
7479937286,Dr. Ajay Sharma Hospital,hospital,30.3174427,78.0469230,
7479937293,Synergy Hospital,hospital,30.3375992,78.0138545,
7479937303,City Heart Centre,hospital,30.3196861,78.0503125,
7479937304,Luthra Maternity & Infertility Centre,hospital,30.3299169,78.0299292,
7479937308,ONGC Hospital,hospital,30.3354477,78.0167854,
7479937310,Param Hospital,hospital,30.3101230,78.0454450,
7479937323,"Fortis Escorts Hospital, Dehradun",hospital,30.3206610,78.0576670,
8512755850,Dr Smriti Eye Centre,hospital,30.3519545,78.0665833,
8818519318,ए.आर.टी. प्लस केंद्र,hospital,30.3206193,78.0417924,
9385639317,ART Plus Centre Doon Hospital,hospital,30.3206591,78.0418042,
10790105930,Archit Clinic,hospital,30.3352245,78.0159348,
11691647039,Healing Touch Hospital,hospital,30.3286997,78.0660533,
11718292127,VAISH NURSING HOME,hospital,30.3321602,78.0595528,
13482147669,Jawla Hospital,hospital,30.3234336,78.0139654,
330695034,Garhi Cantt Police Station,police,30.3525895,78.0244139,
629798229,,hospital,30.3407072,78.0474558,
1357944888,Disaster Relief Center,hospital,30.3399881,78.0378810,
1442071333,,hospital,30.3288529,78.0658727,
